ƒата выпуска		¬рем€	‘акт.	ѕрогноз	ѕред.	
30.10.2013	15:30	0,2%	0,2%	0,1%	
17.09.2013	15:30	0,1%	0,2%	0,2%	
15.08.2013	15:30	0,2%	0,2%	0,5%	
16.07.2013	15:30	0,5%	0,3%	0,1%	
18.06.2013	15:30	0,1%	0,2%	-0,4%	
16.05.2013	15:30	-0,4%	-0,2%	-0,2%	
16.04.2013	15:30	-0,2%	0,1%	0,7%	
15.03.2013	15:30	0,7%	0,5%	0,0%	
21.02.2013	16:30	0,0%	0,1%	0,0%	
16.01.2013	16:30	0,0%	0,0%	-0,3%	
14.12.2012	16:30	-0,3%	-0,2%	0,1%	
15.11.2012	16:30	0,1%	0,1%	0,6%	
16.10.2012	15:30	0,6%	0,5%	0,6%	
14.09.2012	15:30	0,6%	0,5%	0,0%	
15.08.2012	15:30	0,0%	0,2%	0,0%	
17.07.2012	15:30	0,0%	-0,1%	-0,3%	
14.06.2012	15:30	-0,3%	-0,2%	0,0%	
15.05.2012	15:30	0,0%	0,1%	0,3%	
13.04.2012	15:30	0,3%	0,3%	0,4%	
16.03.2012	15:30	0,4%	0,4%	0,2%	
17.02.2012	16:30	0,2%	0,3%	0,0%	
19.01.2012	16:30	0,0%	0,2%	0,0%	
16.12.2011	16:30	0,0%	0,1%	-0,1%	
16.11.2011	16:30	-0,1%	0,0%	0,3%	
19.10.2011	15:30	0,3%	0,3%	0,4%	
15.09.2011	15:30	0,4%	0,2%	0,5%	
18.08.2011	15:30	0,5%	0,2%	-0,2%	
15.07.2011	15:30	-0,2%	-0,1%	0,2%	
15.06.2011	15:30	0,2%	0,1%	0,4%	
13.05.2011	15:30	0,4%	0,4%	0,5%	
15.04.2011	15:30	0,5%	0,5%	0,5%	
17.03.2011	15:30	0,5%	0,4%	0,4%	
17.02.2011	16:30	0,4%	0,3%	0,4%	
14.01.2011	16:30	0,5%	0,4%	0,1%	
